City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Pinkafeld,18,AT,1571616083,81,47.37,16.12,61.0,2.24
Moreno Valley,1,US,1571616083,12,33.94,-117.23,88.0,8.05
Ponta Delgada,20,PT,1571616083,72,37.73,-25.67,60.8,5.82
Tateyama,75,JP,1571616093,93,36.66,137.31,64.0,1.12
Salamanca,75,MX,1571616093,68,20.57,-101.19,71.6,8.66
Buchanan,40,LR,1571616094,94,5.88,-10.05,77.0,6.93
Bonfim,44,GY,1571616094,58,3.36,-59.84,84.42,10.09
Darhan,85,MN,1571616094,83,49.49,105.92,28.53,4.92
Baghdad,0,IQ,1571616094,53,33.3,44.38,75.2,6.64
Mutis,84,CO,1571616094,85,6.23,-77.4,78.28,8.63
Maniitsoq,0,GL,1571616094,52,65.42,-52.9,36.05,6.44
Mehriz,75,IR,1571616095,37,31.58,54.44,68.0,11.41
Mayo,90,CA,1571616095,88,63.59,-135.9,32.0,0.65
San Quintin,16,PH,1571616095,78,17.54,120.52,77.81,3.85
Aksu,75,KZ,1571616095,92,52.04,76.93,15.8,6.71
Kisangani,99,CD,1571616095,83,0.52,25.21,71.12,2.26
Oksfjord,40,NO,1571616095,64,70.24,22.35,35.6,24.16
Virginia Beach,90,US,1571615917,93,36.85,-75.98,66.2,11.41
Gravdal,0,NO,1571616096,93,59.79,5.78,44.01,4.7
Gorgan,90,IR,1571616096,88,36.84,54.43,64.4,4.18
Boa Vista,20,BR,1571616096,55,2.82,-60.67,86.0,4.7
Curiti,40,CO,1571616096,100,6.61,-73.07,68.0,6.93
Saint-Pierre,90,FR,1571616096,100,48.95,4.24,55.99,8.05
Beckley,90,US,1571616096,93,37.78,-81.19,60.8,4.7
Pangnirtung,12,CA,1571616096,49,66.15,-65.72,17.39,3.36
Narsaq,0,GL,1571616097,93,60.91,-46.05,39.2,2.24
Kobelyaky,29,UA,1571616097,77,49.15,34.2,51.42,3.67
Buraydah,0,SA,1571616097,38,26.33,43.97,75.2,5.82
Paamiut,0,GL,1571616097,67,61.99,-49.67,40.43,14.09
Parambu,67,BR,1571616097,55,-6.21,-40.7,75.67,2.15
Mashhad,75,IR,1571616098,27,36.3,59.61,53.6,4.7
Banda Aceh,100,ID,1571616098,80,5.56,95.32,81.3,9.75
Dunedin,74,NZ,1571616098,37,-45.87,170.5,55.99,13.0
Anlu,63,CN,1571616098,53,31.26,113.68,66.31,2.91
Flinders,0,AU,1571616098,42,-34.58,150.85,72.0,4.7
Porecatu,20,BR,1571616098,45,-22.75,-51.38,82.4,8.05
Atar,0,MR,1571616099,22,20.52,-13.05,84.15,9.55
Cayenne,0,GF,1571616099,94,4.94,-52.33,77.0,2.24
Alindao,100,CF,1571616099,96,5.04,21.21,68.87,3.18
Abu Dhabi,0,AE,1571616099,74,24.47,54.37,82.4,2.24
Wamba,100,CD,1571616099,99,2.14,27.99,68.13,1.5
Faya,0,SA,1571616099,29,18.39,42.45,62.6,4.7
Del Rio,1,US,1571616100,41,29.36,-100.9,93.2,14.99
Tazovskiy,100,RU,1571616100,96,67.47,78.7,26.48,9.8
Watsa,98,CD,1571616100,98,3.04,29.53,64.87,0.85
Yulara,92,AU,1571616100,13,-25.24,130.99,73.4,19.46
Korhogo,84,CI,1571616100,86,9.46,-5.63,74.16,3.06
Bucine,75,IT,1571616100,88,43.48,11.61,69.01,2.24
Mariakani,35,KE,1571616100,93,-3.87,39.47,71.19,4.0
Datia,97,IN,1571616101,65,25.66,78.46,70.43,4.16
Sembakung,85,ID,1571616101,84,3.82,117.25,79.49,1.25
Cabo San Lucas,5,MX,1571616101,65,22.89,-109.91,84.0,10.29
Vanimo,63,PG,1571616101,71,-2.67,141.3,82.91,6.06
Merauke,37,ID,1571616111,81,-8.49,140.4,75.71,16.75
Kirgiz-Miyaki,62,RU,1571616111,70,53.63,54.8,32.67,12.95
Vila Franca do Campo,20,PT,1571616112,72,37.72,-25.43,60.8,5.82
Longyan,0,CN,1571616112,60,25.1,117.03,59.96,2.68
Mersing,78,MY,1571616112,88,2.43,103.84,77.29,0.94
Peniche,20,PT,1571616112,100,39.36,-9.38,59.0,3.36
Shushtar,50,IR,1571616112,53,32.05,48.86,70.92,4.38
Damara,0,CF,1571616112,100,4.96,18.7,69.8,3.0
Price,1,US,1571616113,39,39.6,-110.81,44.6,14.99
Morena,68,IN,1571616113,54,26.49,77.98,72.41,3.2
Lerik,75,AZ,1571616113,100,38.78,48.42,53.6,1.68
Changping,0,CN,1571616113,61,40.22,116.23,52.0,4.47
Tessalit,65,ML,1571616113,23,20.2,1.01,88.23,1.1
Iguape,95,BR,1571616113,81,-24.7,-47.56,62.58,2.66
Warrensburg,1,US,1571616114,82,38.76,-93.74,63.0,8.05
Jining,91,CN,1571616114,30,35.41,116.58,70.0,2.75
Santiago del Estero,0,AR,1571616114,61,-27.8,-64.26,65.37,8.28
Swan River,60,CA,1571616114,78,52.11,-101.27,35.62,9.1
Canala,0,NC,1571616114,51,-21.52,165.96,84.2,10.29
Santa Rosa,100,AR,1571616114,75,-36.62,-64.29,55.71,12.39
Agua Verde,75,MX,1571616114,66,22.89,-105.97,87.8,16.11
Xichang,77,CN,1571616115,92,27.88,102.25,49.93,1.95
Namanyere,26,TZ,1571616115,84,-7.51,31.05,63.61,3.47
Lubango,38,AO,1571616115,71,-14.92,13.49,71.57,1.72
Vondrozo,100,MG,1571616115,92,-22.82,47.32,65.34,2.35
Mto wa Mbu,23,TZ,1571616116,78,-3.38,35.86,66.2,14.14
Hilton Head Island,1,US,1571616116,77,32.16,-80.75,71.6,4.7
Luau,87,CD,1571616116,89,-10.7,22.23,66.94,3.65
Haines Junction,24,CA,1571616116,76,60.75,-137.51,29.32,2.48
San Esteban,83,HN,1571616116,94,15.21,-85.77,71.19,2.01
Sao Gabriel da Cachoeira,100,BR,1571616117,92,-0.13,-67.09,75.58,1.48
Caldas Novas,89,BR,1571616117,70,-17.75,-48.62,74.99,4.68
Cockburn Town,100,TC,1571616117,78,21.46,-71.14,84.11,15.46
Mazara del Vallo,0,IT,1571616117,83,37.65,12.59,71.6,12.75
Bronnoysund,84,NO,1571616117,59,65.46,12.2,37.4,4.7
Ornskoldsvik,40,SE,1571616117,86,63.29,18.72,32.0,6.93
Non Sang,75,TH,1571616118,94,16.87,102.57,73.4,3.36
Maceio,0,BR,1571616119,94,-9.67,-35.74,73.4,6.93
Kamenka,0,MD,1571616119,93,48.03,28.7,48.0,4.85
Kazachinskoye,5,RU,1571616119,78,57.69,93.28,18.59,3.87
Tamandare,65,BR,1571616119,90,-8.28,-70.75,73.62,0.81
Pozoblanco,0,ES,1571616120,87,38.38,-4.85,51.8,1.43
Wagar,45,US,1571616120,78,31.44,-87.99,75.0,4.12
Odessa,1,US,1571616120,16,31.85,-102.37,84.99,20.8
Moscow,93,RU,1571616120,81,55.75,37.62,55.0,6.71
Taywarah,17,AF,1571616120,31,33.35,64.42,39.38,7.07
Inyonga,67,TZ,1571616120,62,-6.72,32.06,71.96,8.19
Kyabram,0,AU,1571616121,49,-36.31,145.05,66.0,8.99
Lengshuitan,0,CN,1571616121,58,26.41,111.6,66.78,0.83
Padang,26,ID,1571616121,87,-0.92,100.36,78.51,14.94
Tiznit,0,MA,1571616131,78,29.7,-9.73,65.68,20.33
Dickson,1,US,1571616131,72,36.08,-87.39,69.8,5.37
Yerbogachen,100,RU,1571616131,73,61.28,108.01,21.63,2.93
San Andres,0,PH,1571616132,75,13.32,122.68,81.92,4.14
Srivardhan,100,IN,1571616132,92,18.03,73.02,73.85,9.53
Celle,75,DE,1571616132,100,52.62,10.08,55.99,2.24
Columbus,1,US,1571615986,93,32.46,-84.99,75.2,5.08
Sao Filipe,55,CV,1571616132,86,14.9,-24.5,77.87,21.41
Solyanka,0,RU,1571616132,93,48.42,44.42,44.6,8.95
Praia da Vitoria,40,PT,1571616132,72,38.73,-27.07,62.6,8.46
Road Town,40,VG,1571616132,83,18.42,-64.62,84.2,5.82
Apostolove,90,UA,1571616133,93,47.66,33.71,51.8,0.38
Kerema,92,PG,1571616133,80,-7.96,145.78,78.55,11.12
Yar-Sale,100,RU,1571616133,94,66.83,70.83,24.8,11.88
Rio Cuarto,90,AR,1571616133,93,-33.13,-64.35,57.2,5.82
Pavilosta,100,LV,1571616133,100,56.89,21.19,55.4,2.24
Belmonte,55,PT,1571616134,93,40.36,-7.35,45.0,2.57
Tooele,1,US,1571616134,39,40.53,-112.3,48.2,8.05
Gushikawa,40,JP,1571616134,83,26.35,127.87,78.8,11.41
Puerto Penasco,0,MX,1571616134,57,31.32,-113.53,82.0,5.99
Lev Tolstoy,76,RU,1571616134,100,53.21,39.45,48.2,6.71
Baracoa,73,CU,1571616134,75,20.35,-74.5,83.61,5.46
Sao Miguel do Araguaia,96,BR,1571616135,42,-13.28,-50.16,84.83,1.59
Estelle,0,FR,1571616135,82,43.97,3.47,64.99,10.29
San Jose,85,HN,1571616135,76,14.25,-87.96,68.43,0.69
Jumla,0,NP,1571616135,78,29.28,82.18,36.84,4.76
Hashtrud,90,IR,1571616135,84,37.48,47.05,48.98,3.94
